Gene.symbol	Gene.ID	adj.P.Val	logFC	B
MPDZ	8777	2.56938165222594e-36	-3.66987498546766	76.1478668937428
PRKG2	5593	5.82840665531939e-30	-5.87468858093574	63.8393389789609
CHRM3	1131	3.13099080827869e-28	-4.37837878163309	60.1102788086252
FREM1	158326	1.11851776146445e-23	-3.41046954110904	50.6489413825305
NKAIN2	154215	5.05999622397145e-23	-4.67388898871352	49.0911898889033
HLF	3131	2.7028863147663e-20	-4.14067254518284	43.2055724269234
NAP1L3	4675	6.62810018708978e-20	-4.12130035122596	42.2381409391114
PBX1	5087	1.90903551968782e-18	-4.19538519845357	39.0040450650069
		1.92710276096505e-18	-2.67613023111277	38.8857956964226
SGIP1	84251	2.04198830250708e-18	-2.26565006245978	38.7339702784454
PLCB4	5332	7.78662530020303e-18	-3.43613051395108	37.3982718704318
CRHBP	1393	1.72431020133988e-17	-4.41225427298839	36.5745331112196
SGCZ	137868	1.41424509593933e-16	-1.87753989345357	34.5280235630009
FAT4	79633	3.28405137733416e-16	-1.72910735735531	33.6666839229771
ST6GAL2	84620	1.27994090444935e-15	-2.07105018892579	32.3206163030445
EMCN	51705	2.11973752791524e-15	-2.34815756556716	31.7837896444223
RPS6KA6	27330	2.62245800437179e-14	-2.28448240553483	29.3471215183757
HFM1	164045	4.65799938369005e-14	-1.74672268328773	28.711836005142
PRKG1	5592	4.65799938369005e-14	-1.97468366990423	28.6968529824496
DTX3	196403	3.65904717224389e-13	-1.89055439031053	26.6499802577723
ELN	2006	3.65904717224389e-13	-1.94831686438972	26.6430301222475
LIMCH1	22998	3.98233330698614e-13	-2.20882059882173	26.5181716348228
FYB	2533	7.44816423890851e-13	4.38174008368905	25.8796260920488
BEX2	84707	1.00019467655088e-12	-2.7028287735767	25.5581512271638
PLOD2	5352	1.27790211785791e-12	-4.35907235773259	25.2856678447077
PRKCD	5580	1.39707655006187e-12	2.9733284447044	25.1632560852444
CEP126	57562	1.66578581066769e-12	-2.77943525628524	24.9594956743903
RNF150	57484	1.90763566776586e-12	-2.0805952386675	24.7954854523317
ADGRG6	57211	2.15932016253329e-12	-4.53880102771227	24.6437654055392
SPOCK3	50859	2.55990367989687e-12	-2.01964622050083	24.4490149068333
NUDT11	55190	4.93418579035623e-12	-3.17344574798134	23.7911623371412
		5.12855847205245e-12	-2.97220124299793	23.7239308306503
CDH7	1005	5.37028831010715e-12	-1.71818793205348	23.6505391341057
LRCH2	57631	1.64668503212278e-11	-2.05266858237894	22.5509603950778
CNN3	1266	1.95853080064200e-11	-3.29008079582753	22.3573368012931
PDZD2	23037	3.83175175031321e-11	-2.44213359108748	21.6881264926337
VWDE	221806	4.6668172338435e-11	-3.76099964586816	21.4731401398289
		5.12350411469099e-11	-3.27632854231468	21.3582066738521
		3.17482758058953e-10	-2.49822099665713	19.5852779239011
ELAC2///HMGA2///HMGA2	60528///8091///8091	3.49359479344867e-10	-2.19991138981883	19.4692299293367
CTSF	8722	4.1160808060684e-10	-2.1226127228296	19.2882611482827
