Gene.symbol	Gene.ID	adj.P.Val	logFC	B
STEAP4	79689	2.26360022701539e-25	-5.2137156607301	56.8560261697502
CLEC6A	93978	1.32243750706692e-23	-3.9042037059175	52.245241655155
KIT	3815	1.32243750706692e-23	5.93216709736111	51.9810400381754
STMN1	3925	5.56621730360656e-22	4.33716431184246	48.1477550921245
WLS	79971	2.41539106641281e-21	-3.82496101958375	46.5307698214153
ARSG	22901	6.92049131916116e-21	-2.55946197175788	45.2536533623098
PID1	55022	6.92049131916116e-21	-4.51075935003358	45.1992449916703
TYMS	7298	1.13734638001017e-19	4.65033731405556	42.3792411757269
KIAA0101	9768	1.27973497977634e-19	5.71601398253109	42.1520956125998
SLC46A2	57864	2.05563394323465e-19	-2.81263170208914	41.5936278717858
PLA2G7	7941	2.06207022528631e-19	-5.04598370403607	41.4669487388041
CPXM1	56265	2.06207022528631e-19	4.02167923797098	41.4147601732465
SLC38A1	81539	4.91577645345237e-19	4.50301059405099	40.4990015667224
DEPTOR	64798	1.06434806854863e-18	3.68009835111526	39.6809803372129
MYB///MYB	4602///4602	5.61183410742228e-18	3.73196297459577	38.005462459258
WEE1	7465	9.08104542148911e-18	3.57761445219776	37.4766037045312
SLC24A4	123041	9.4133805652065e-18	-3.04076325676202	37.3830104668934
MCM2	4171	1.1493739925458e-17	2.74234317824959	37.1340458929758
CYP27A1	1593	3.29012537093713e-17	-4.054763941085	36.0613841738093
SLC35F2	54733	4.84653700368699e-17	3.51475904488847	35.6355612744657
ERG	2078	4.98269926168672e-17	3.84700286221766	35.5612791934283
ADGRE3	84658	5.81285455724452e-17	-3.87279532679892	35.3664434548832
FLT3	2322	1.62188940354233e-16	3.47051222623134	34.3261348072623
HIST1H1B	3009	2.43601861051419e-16	5.38321601110987	33.8891962243458
ALDH18A1	5832	3.35234532040937e-16	3.96877838642952	33.5388877570052
HIST1H3B	8358	4.51178361668003e-16	5.40696453862396	33.2116952976714
ANKRD28	23243	5.16509006763436e-16	3.87344318860946	33.0433494708702
DTL	51514	7.20036898806508e-16	4.69176823140299	32.6845452264674
MSRB3	253827	7.65175543838568e-16	3.77017887763308	32.5911759265779
CLEC4E	26253	1.07071277466504e-15	-4.97621933209287	32.2278314539736
HNMT	3176	1.07071277466504e-15	-3.28391358258997	32.1990326732453
SMARCD3	6604	1.19938351964949e-15	-2.28121050120854	32.0575650980957
MAK	4117	1.99465680837555e-15	-1.74508170523342	31.5319696288478
CDCA7L	55536	2.02894720509574e-15	4.11917049796351	31.4862645627294
		2.57681947847222e-15	-3.23791017812065	31.2110825961338
CDA	978	2.57681947847222e-15	-3.71655773650995	31.1975639932589
MCM6	4175	2.82200272179926e-15	3.49230954548508	31.0822500068893
GUCY1A3	2982	3.08644054431973e-15	4.23990395818201	30.9689245539759
		5.15649997855705e-15	2.28512801027322	30.4377501835723
HELLS	3070	5.15649997855705e-15	3.28403441814013	30.4184092606277
ADGRD1	283383	5.4430560382002e-15	-2.01853450660572	30.3415722750984
GLT1D1	144423	5.9091240614845e-15	-4.40787011548715	30.2373008618762
CCND2	894	5.9091240614845e-15	3.20935177443408	30.2149713003125
TNFSF12-TNFSF13///TNFSF12///TNFSF13	407977///8742///8741	6.24111387509584e-15	-1.92672413919237	30.1392201970531
OLFM1	10439	8.0740855369443e-15	-2.28951810427114	29.8660611590637
LOC81691	81691	8.1550210202846e-15	2.43805415588267	29.8348824691684
SEMA3C	10512	9.9222551265695e-15	-2.95745580175332	29.6224868443517
CDC45	8318	1.20998019453472e-14	2.76401020111402	29.4082937955641
PPT2-EGFL8///EGFL8///PPT2	100532746///80864///9374	1.6478987616027e-14	2.03409218191915	29.0866307766206
VNN3	55350	1.7662226351735e-14	-3.16000702101534	28.9992080959734
PCSK5	5125	1.96618220017275e-14	-2.85110463861982	28.8751574459877
CLEC4D	338339	2.30409310518619e-14	-4.07857572050291	28.7013358138909
